#t(s),H(A/m),E1(V/m),E2(V/m)
-0.000000003600000000,0.803000288946517760,748.333867299607391033,-310.791789309360751759
-0.000000003590000000,0.723831249347810846,679.338547619696555557,-294.676659766168597798
-0.000000003580000000,0.661626997916900050,191.948527417571909837,-324.604757313836955746
-0.000000003570000000,0.723831249347810846,-226.446173104641673035,-294.676659766168597798
-0.000000003560000000,0.613560081017685333,-274.212164232903603533,-134.676441420146602468
-0.000000003550000000,-0.000000000000000000,-226.446173104641673035,0.000000000000000000
-0.000000003540000000,-0.803000288946517760,-310.478935729022168744,-153.093733729874202254
-0.000000003530000000,-0.723831249347810846,-226.446173104641673035,-589.353318304517756587
-0.000000003520000000,0.622042478117546760,191.063972061253224410,-964.605627014466563196
-0.000000003510000000,2.171493742011505912,452.892366966849124310,-884.029978070686411229
-0.000000003500000000,2.479687515370325279,109.684875505828841824,-369.496904863158988519
-0.000000003490000000,1.447662498695621691,-452.892353757489161126,0.000000000000000000
-0.000000003480000000,0.011309863222050139,-587.344773579087700455,-162.302378656918477873
-0.000000003470000000,-0.723831249347810846,-226.446173104641673035,-589.353318304517756587
-0.000000003460000000,-0.650317135117084777,130.914205001003665529,-766.619746963089937708
-0.000000003450000000,-0.723831249347810846,0.000007029814375909,-589.353318304517756587
-0.000000003440000000,-1.289324407434354169,-544.001559232419367618,-409.784729335049178189
-0.000000003430000000,-1.447662498695621691,-905.784713176132413537,-589.353318304517756587
-0.000000003420000000,-0.613560081017685333,-730.642746963873150889,-941.584012855126616159
-0.000000003410000000,-0.000000000000000000,-452.892353757489161126,-884.029978070686411229
-0.000000003400000000,-0.421292406182513623,-546.655225301375480740,-258.993157143890925909
-0.000000003390000000,-0.723831249347810846,-905.784713176132413537,294.676659766168597798
-0.000000003380000000,0.050894384650023793,-999.547584720018676308,109.352666581564292869
-0.000000003370000000,0.723831249347810846,-679.338534410336478686,-589.353318304517756587
-0.000000003360000000,0.107443700820593777,-207.870510621948767493,-1039.425873339276677143
-0.000000003350000000,-0.723831249347810846,0.000007029814375909,-884.029978070686411229
-0.000000003340000000,-0.361915624070712760,-121.184081551201828120,-423.597697339525382176
-0.000000003330000000,0.723831249347810846,-226.446173104641673035,-294.676659766168597798
-0.000000003320000000,0.845412280477751743,-116.761304580903129136,-702.159227562501769171
-0.000000003310000000,-0.723831249347810846,0.000007029814375909,-1178.706637836855179557
-0.000000003300000000,-2.872705265759686100,-121.184081551201828120,-1132.663409518175058111
-0.000000003290000000,-3.619156240707127381,-226.446173104641673035,-589.353318304517756587
-0.000000003280000000,-2.270455047541816374,-42.458651819554184215,14.964049142180027019
-0.000000003270000000,-0.723831249347810846,226.446186314001693063,294.676659766168597798
-0.000000003260000000,-0.460876927188252405,169.834642188668112794,216.403171133284843108
-0.000000003250000000,-0.723831249347810846,-226.446173104641673035,0.000000000000000000
-0.000000003240000000,-0.113098632220501399,-676.684868341380251877,-185.323992816258481753
-0.000000003230000000,0.723831249347810846,-905.784713176132413537,-294.676659766168597798
-0.000000003220000000,0.607905149617777640,-794.330734505871987494,-344.173129165103034666
-0.000000003210000000,-0.000000000000000000,-452.892353757489161126,-294.676659766168597798
-0.000000003200000000,-0.135718359026517271,-50.419650215127731485,-142.734006805652398953
-0.000000003190000000,-0.000000000000000000,226.446186314001693063,0.000000000000000000
-0.000000003180000000,0.070686645514808799,304.287061444151163414,20.719452620624050354
-0.000000003170000000,0.723831249347810846,226.446186314001693063,0.000000000000000000
-0.000000003160000000,1.885919694252316647,30.074890417862487624,90.935375376874233666
-0.000000003150000000,2.171493742011505912,-226.446173104641673035,294.676659766168597798
-0.000000003140000000,0.803000288946517760,-428.124801893513676987,420.144456259270896226
-0.000000003130000000,-0.723831249347810846,-452.892353757489161126,294.676659766168597798
-0.000000003120000000,-0.658799532216946315,-260.943833888122867393,-61.007277092514186734
-0.000000003110000000,0.723831249347810846,0.000007029814375909,-294.676659766168597798
-0.000000003100000000,1.758683737754395127,115.876763377470126670,-145.036168344368348926
-0.000000003090000000,1.447662498695621691,0.000007029814375909,294.676659766168597798
-0.000000003080000000,0.333640965864789252,-204.332289196673883680,625.036820926795599007
-0.000000003070000000,-0.000000000000000000,-226.446173104641673035,589.353318304517756587
-0.000000003060000000,1.029197557006676700,5.307339384189750930,174.964267119856231147
-0.000000003050000000,2.171493742011505912,226.446186314001693063,-294.676659766168597798
-0.000000003040000000,1.948123945683227554,236.176297120558956522,-544.461171983015219666
-0.000000003030000000,0.723831249347810846,226.446186314001693063,-589.353318304517756587
-0.000000003020000000,-0.342123363567843397,339.669277583951100041,-562.878463064923380443
-0.000000003010000000,-0.723831249347810846,452.892366966849124310,-589.353318304517756587
-0.000000003000000000,-0.593767820514815803,306.940727513107276536,-667.626806937401511277
-0.000000002990000000,-0.000000000000000000,0.000007029814375909,-884.029978070686411229
-0.000000002980000000,0.737968577847579965,-217.600619541454591399,-1061.296405501439039654
-0.000000002970000000,0.723831249347810846,-226.446173104641673035,-884.029978070686411229
-0.000000002960000000,-0.313848705361919889,-154.797186412248890974,-347.626371473176959626
-0.000000002950000000,-1.447662498695621691,-226.446173104641673035,0.000000000000000000
-0.000000002940000000,-1.696479486323484442,-470.583460883863381241,-125.467796493102284217
-0.000000002930000000,-1.447662498695621691,-679.338534410336478686,-294.676659766168597798
-0.000000002920000000,-1.300634276266096512,-629.803432569437291022,11.510807006000829844
-0.000000002910000000,-1.447662498695621691,-452.892353757489161126,589.353318304517756587
-0.000000002900000000,-1.331736398965588375,-304.287048234791200230,696.403823715711951081
-0.000000002890000000,-0.723831249347810846,-226.446173104641673035,0.000000000000000000
-0.000000002880000000,0.178130346335402562,-114.992193868265687229,-1125.756924902027094504
-0.000000002870000000,0.723831249347810846,0.000007029814375909,-1768.059951230094839048
-0.000000002860000000,0.737968577847579965,35.382222744479904009,-1334.102538016723201508
-0.000000002850000000,0.723831249347810846,0.000007029814375909,-294.676659766168597798
-0.000000002840000000,1.060299679706168341,-31.843986977614207490,511.079830899453384063
-0.000000002830000000,1.447662498695621691,0.000007029814375909,589.353318304517756587
-0.000000002820000000,1.425042767064064186,95.531989238614031024,51.798631551560134767
-0.000000002810000000,1.447662498695621691,226.446186314001693063,-589.353318304517756587
-0.000000002800000000,1.823715448853332699,297.210618593601509474,-856.404040833914564246
-0.000000002790000000,2.171493742011505912,226.446186314001693063,-589.353318304517756587
-0.000000002780000000,1.922676754383642939,54.842441338312141852,120.863473538452339540
-0.000000002770000000,1.447662498695621691,0.000007029814375909,884.029978070686411229
-0.000000002760000000,1.116848993705244819,127.375983387023666182,1217.843381539386882650
-0.000000002750000000,0.723831249347810846,226.446186314001693063,884.029978070686411229
-0.000000002740000000,0.147028222429525235,181.333862198221652307,43.741066657182102517
-0.000000002730000000,-0.000000000000000000,226.446186314001693063,-589.353318304517756587
-0.000000002720000000,0.667281929316807743,480.313584899780607884,-513.381992438169390880
-0.000000002710000000,1.447662498695621691,679.338547619696555557,0.000000000000000000
-0.000000002700000000,1.654067500824177195,528.964131384361166965,433.957424263747100213
-0.000000002690000000,1.447662498695621691,226.446186314001693063,589.353318304517756587
-0.000000002680000000,1.371320918764941998,112.338541763490127323,584.748996454905295650
-0.000000002670000000,1.447662498695621691,226.446186314001693063,589.353318304517756587
-0.000000002660000000,1.289324407434354169,329.939168664445276136,608.921690155783835507
-0.000000002650000000,0.723831249347810846,226.446186314001693063,589.353318304517756587
-0.000000002640000000,0.265781786653126906,-31.843986977614207490,481.151733351785026116
-0.000000002630000000,0.723831249347810846,-226.446173104641673035,294.676659766168597798
-0.000000002620000000,2.024465519581980733,-174.257405006081114607,187.626154354974431726
-0.000000002610000000,2.895324991359316424,0.000007029814375909,294.676659766168597798
-0.000000002600000000,2.400518475771618476,133.567871069959807073,583.597915685547377507
-0.000000002590000000,1.447662498695621691,226.446186314001693063,884.029978070686411229
-0.000000002580000000,1.170570848036294187,371.513272298476124433,934.677529466798318936
-0.000000002570000000,1.447662498695621691,452.892366966849124310,589.353318304517756587
-0.000000002560000000,1.572070989493589588,473.237142049230840257,154.244814499232177241
-0.000000002550000000,1.447662498695621691,679.338547619696555557,294.676659766168597798
-0.000000002540000000,1.419387835664156716,994.240267678517852801,1053.238841343752710600
-0.000000002530000000,1.447662498695621691,905.784728272543816274,1473.383298830843159521
-0.000000002520000000,1.201672970735786050,311.363504294700931041,1040.576952880815042590
-0.000000002510000000,0.723831249347810846,0.000007029814375909,589.353318304517756587
-0.000000002500000000,0.446739598085290623,528.079576028042538383,836.835668982648371639
-0.000000002490000000,0.723831249347810846,1358.677087691187125529,1178.706637836855179557
-0.000000002480000000,1.738891471822791690,1538.241832572091652764,843.742153598796221559
-0.000000002470000000,2.895324991359316424,905.784728272543816274,294.676659766168597798
-0.000000002460000000,3.384476575547107124,183.987528455882937806,412.086890873765128163
-0.000000002450000000,2.895324991359316424,226.446186314001693063,1178.706637836855179557
-0.000000002440000000,1.724754143323022459,968.588160458223910609,1821.009666620561574746
-0.000000002430000000,0.723831249347810846,1358.677087691187125529,1768.059951230094839048
-0.000000002420000000,0.797345357546610067,824.405631717119490531,1181.008799375571015844
-0.000000002410000000,2.171493742011505912,226.446186314001693063,884.029978070686411229
-0.000000002400000000,4.080033167895379620,476.775363474505752492,1139.569894134322794343
-0.000000002390000000,5.066818733370822336,1132.230908925391304365,1178.706637836855179557
-0.000000002380000000,4.362779749954615482,1333.024982357944736577,591.655479843233706561
-0.000000002370000000,2.895324991359316424,1132.230908925391304365,294.676659766168597798
-0.000000002360000000,1.996190862582442715,995.124823034836595070,904.749430691310408292
-0.000000002350000000,2.171493742011505912,905.784728272543816274,1473.383298830843159521
-0.000000002340000000,2.974494036989950185,661.647440493322278598,1032.519388723128713536
-0.000000002330000000,3.619156240707127381,452.892366966849124310,294.676659766168597798
-0.000000002320000000,3.887765494266592903,627.149779709841027397,406.331487026975196386
-0.000000002310000000,4.342987490054938782,1132.230908925391304365,1178.706637836855179557
-0.000000002300000000,4.948065173972762132,1509.936061169892582257,1589.642444257803845176
-0.000000002290000000,5.066818733370822336,1358.677087691187125529,1178.706637836855179557
-0.000000002280000000,4.283610704323980833,760.717644175120767613,378.705551018022788412
-0.000000002270000000,3.619156240707127381,452.892366966849124310,0.000000000000000000
-0.000000002260000000,3.814251380035867278,888.978174615436842032,351.079613781250884585
-0.000000002250000000,4.342987490054938782,1585.123268344034840993,884.029978070686411229
-0.000000002240000000,4.023483853896303586,1759.380681087026687237,930.073206389366305302
-0.000000002230000000,2.895324991359316424,1358.677087691187125529,589.353318304517756587
-0.000000002220000000,1.767166134854256443,726.219983391639630099,338.417726546132655585
-0.000000002210000000,1.447662498695621691,226.446186314001693063,294.676659766168597798
-0.000000002200000000,1.679514692123761366,25.652113447563781534,367.194743324443095389
-0.000000002190000000,1.447662498695621691,226.446186314001693063,589.353318304517756587
-0.000000002180000000,0.545700901806022931,681.107658332333812723,832.231347133036024388
-0.000000002170000000,-0.000000000000000000,905.784728272543816274,589.353318304517756587
-0.000000002160000000,0.630524875217408187,594.421229638997260736,-154.244814499232177241
-0.000000002150000000,1.447662498695621691,0.000007029814375909,-589.353318304517756587
-0.000000002140000000,1.221465230635462973,-425.471135824557620708,-125.467796493102284217
-0.000000002130000000,-0.000000000000000000,-452.892353757489161126,589.353318304517756587
-0.000000002120000000,-0.921753854376504811,-177.795626620061113954,810.360813743053995495
-0.000000002110000000,-0.723831249347810846,0.000007029814375909,589.353318304517756587
-0.000000002100000000,0.296883910559004260,-19.460211611741954130,481.151733351785026116
-0.000000002090000000,0.723831249347810846,0.000007029814375909,589.353318304517756587
-0.000000002080000000,0.277091649452942235,136.221537327621064151,775.828391890134184905
-0.000000002070000000,-0.000000000000000000,0.000007029814375909,884.029978070686411229
-0.000000002060000000,0.808655220346425341,-521.887673437399939758,1110.792876128193029217
-0.000000002050000000,1.447662498695621691,-905.784713176132413537,1473.383298830843159521
-0.000000002040000000,0.910443991576689537,-600.613103923868152378,1920.002612785347309909
-0.000000002030000000,-0.000000000000000000,0.000007029814375909,2062.736615907541363413
-0.000000002020000000,0.477841721991167923,313.132615007338301893,1975.254477436335264429
-0.000000002010000000,2.171493742011505912,226.446186314001693063,2062.736615907541363413
-0.000000002000000000,4.249681115924535568,127.375983387023666182,2835.111763033962688496
-0.000000001990000000,5.790649982718632849,226.446186314001693063,3830.796567137635975087
-0.000000001980000000,6.839639829784621483,506.850245589341909636,4704.466821967559553741
-0.000000001970000000,7.238312493478109566,679.338547619696555557,5304.179865968480044103
-0.000000001960000000,7.345756190076353498,754.525756680889912786,6009.792340750333096366
-0.000000001950000000,7.238312493478109566,905.784728272543816274,6777.563164799322294130
-0.000000001940000000,7.837735221868318725,1364.868975185418094043,7564.902361927396668762
-0.000000001930000000,9.409806211361907202,1811.569448996882101710,8250.946463630165453651
-0.000000001920000000,12.381472782651902875,2092.858067402643882815,9095.839699226140510291
-0.000000001910000000,15.200456206144394855,2264.461806528473971412,10313.683079537708181306
-0.000000001900000000,17.578354980444089506,2715.585057121531463054,11943.613350723038820433
-0.000000001890000000,19.543443702231257930,3170.246529139863923774,13555.126280485865208902
-0.000000001880000000,22.102300281327995179,3700.979761801604581706,14707.358130613198227366
-0.000000001870000000,24.610262417506302057,4302.477422968842802220,15323.186342219712969381
-0.000000001860000000,27.276562693201285015,5333.869025048004004930,15677.719096400021953741
-0.000000001850000000,30.400912412288789710,6340.493058279727847548,16207.216250304691129713
-0.000000001840000000,35.201949351768178076,7340.925204017219584784,16956.569831156732107047
-0.000000001830000000,41.258381122346314385,8378.508674720096678357,17680.599512300948845223
-0.000000001820000000,46.913312763531017424,9913.212274544604952098,18397.722831610968569294
-0.000000001810000000,50.668187333708232245,11775.201375077549528214,19743.336128208491572877
-0.000000001800000000,52.019715998605413176,13677.880022001156248734,21650.676840252705005696
-0.000000001790000000,53.563512331099467190,15398.340265523109337664,23279.456128894235007465
-0.000000001780000000,56.670897255987249252,16882.624210037451121025,23632.837925087133044144
-0.000000001770000000,61.525656043765756920,18568.586775792457046919,23574.132805849880242022
-0.000000001760000000,65.461488298101471628,20155.479103898742323508,23837.730179250902438071
-0.000000001750000000,68.040137016459340202,21512.387209196789626731,24752.839390890494541964
-0.000000001740000000,67.887453868661836509,21952.011126934616186190,25299.602756335538288113
-0.000000001730000000,66.592474578082999415,22191.725722849561861949,25342.192744801777735120
-0.000000001720000000,63.991206134125476979,22181.995519577481900342,24515.716752402753627393
-0.000000001710000000,62.249487262953927313,22191.725722849561861949,23574.132805849880242022
-0.000000001700000000,61.251392172466580632,21519.463652047339564888,22359.742594177216233220
-0.000000001690000000,61.525656043765756920,20606.602335621286329115,21216.719512986695917789
-0.000000001680000000,61.061951668973321716,19484.101682805408927379,19842.329074373272305820
-0.000000001670000000,59.354162325881951290,18568.586775792457046919,18859.306220123515231535
-0.000000001660000000,55.226062222991579631,17669.878514902131428244,18053.549681572934787255
-0.000000001650000000,50.668187333708232245,16983.463520657784101786,17091.246281171614100458
-0.000000001640000000,46.483537977138041697,16373.120305927359368070,15310.524453756775983493
-0.000000001630000000,43.429874900549386041,15851.232626828805223340,13260.449726312172060716
-0.000000001620000000,40.506275246158601533,15264.772406718982892926,11304.763560563947976334
-0.000000001610000000,37.639224905766894835,14719.001714129308311385,9429.653097783560951939
-0.000000001600000000,34.045515820167793208,14095.390169054104262614,7251.808417218417162076
-0.000000001590000000,29.677081193100608658,13360.324649082740506856,5009.503213569227227708
-0.000000001580000000,24.270966533511842300,12250.207620291212151642,3165.471931561506153230
